rank,bib,name,from,speed,bould,lead,total
1,28,NARASAKI Tomoa,JPN,6,1,1,6
2,41,CHON Jongwon,KOR,10,2,4,80
3,42,KIM Hanwool,KOR,9,3,3,81
4,29,FUJII Kokoro,JPN,17,6,2,204
5,10,AU Chi Fung,HKG,5,8,7,280
6,35,KHAIBULLIN Rishat,KAZ,3,13,8,312
7,14,KIROMAL Katibin,INA,1,19,18,342
8,13,SETO Seto,INA,2,14,14,392
9,4,MA Zida,CHN,8,4,13,416
10,20,PEREIRA KAMATH Bharath Stephen,IND,4,9,16,576
11,9,CHAN Cheung Chi Shoji,HKG,11,7,10,770
12,47,MOHD ZULKIFLI Muhammad Taqiuddin,MAS,13,12,5,780
13,3,PAN Yufei, CHN,15,5,11,825
14,34,DEVYATERIKOV Artyom,KAZ,12,10,9,1080
15,24,HASHEMZADEH Khosro,IRI,19,11,6,1254
16,19,MAIBAM Chingkheinganba,IND,7,16,15,1680
17,68,RUANGRIT Winai,THA,16,17,12,3264
18,48,MOHD SHOKOR Mohd Izzat,MAS,14,18,17,4284
19,60,VEROSIL Gerald,PHI,18,15,21,5670
20,69,JIRAJATURAPAK Sirapob,THA,20,20,22,8800
21,57,SHERPA Pemba,NEP,22,22,19,9196
22,56,SHRESTHA Pranil Man,NEP,21,22,20,9240
23,53,NYAMDOO Kherlen,MGL,23,22,23,11638
