rank,name,from,bib,speed,bould,lead,total
6,RUBTSOV Aleksei,RUS,5,10,5,6,300
1,LEHMANN Sascha,SUI,19,9,3,2,54
2,LUZHETSKII Sergei,RUS,18,3,4,9,108
5,IARILOVETS Nikolai,RUS,15,5,7,8,280
4,SHEMLA Yuval,ISR,9,20,12,1,240
7,DZIENSKI Marcin,POL,4,1,19,20,380
8,KHAZANOV Alex,ISR,7,17,1,16,408
3,BOSI William,GBR,13,7,1,12,126
9,PUMAN Hannes,SWE,8,16,11,3,528
10,PEHARC Anze,SLO,14,15,10,4,600
11,KRIZ Jan,CZE,1,2,20,19,760
12,COLLIN Nicolas,BEL,20,14,8,7,784
13,BOLDYREV Danyil,UKR,11,4,18,18,1296
14,MARCUS Nimrod,ISR,16,18,6,13,1404
15,STRANIK Martin,CZE,10,19,15,5,1425
16,LORENZI Simon,BEL,6,11,13,10,1485
17,KRUDER Jernej,SLO,17,8,13,14,1512
18,LEVIN Ram,ISR,12,12,9,15,1620
19,LEVIN Geva,ISR,3,6,17,17,1734
20,KURIC Peter,SVK,2,13,16,11,2288
