rank,name,from,bib,speed,bould,lead,total
4,MESHKOVA Viktoriia,RUS,40,5,7,4,140
2,GEJO Stasa,SRB,39,7,1,7,98
1,ADAMOVSKA Eliska,CZE,35,18,1,1,36
8,CHUDZIAK Patrycja,POL,26,1,19,14,266
7,CAULIER Chloe,BEL,38,11,4,6,264
5,KRASOVSKAIA Elena,RUS,36,6,9,3,162
3,MEUL Hannah,GER,34,10,1,5,100
6,THOMPSON-SMITH Molly,GBR,31,16,6,2,192
9,BESTVATER Alma,GER,29,3,12,12,432
10,KALUCKA Aleksandra,POL,37,2,17,15,510
11,DÖRFFEL Lucia,GER,32,9,8,10,720
12,KALUCKA Natalia,POL,33,4,15,19,1140
13,HÖNIG Afra,GER,30,8,11,13,1144
14,POTAPOVA Nika,UKR,28,19,10,9,1755
15,KEREM Ayala,ISR,25,19,5,18,1755
16,SMETANOVA Michaela,CZE,23,17,14,8,1904
17,SHIRAN Noa,ISR,21,13,13,16,2704
18,JANOSOVA Marketa,CZE,27,15,18,11,2970
19,PICCINI Vana,CRO,22,14,16,17,3808
20,BROZEK Anna,POL,24,12,20,20,4800
