rank,name,from,bib,speed,bould,lead,total
1,BAILEY Sean,USA,16,7,1,2,14
2,GALLA Zach,USA,17,3,3,5,45
3,DUFFY Colin,USA,13,11,5,1,55
4,GRANJA Carlos,ECU,11,1,7,8,56
5,VALENCIA Danny,ECU,10,2,13,3,78
6,WALLER Zander,USA,15,10,2,4,80
7,SANTOS BUHL José Ramón,MEX,19,5,6,13,390
8,GROSSO Cesar,BRA,5,6,11,6,396
9,DOYLE Brennan,CAN,4,4,15,11,660
10,HO FOGANHOLO Felipe,BRA,6,9,9,10,810
11,HOLOWACH Jason,CAN,3,14,4,17,952
12,ESCOBAR Manuel,VEN,14,8,19,7,1064
13,LEQUERICA Diego,PER,12,16,8,14,1792
14,MARTÍNEZ CORDERO Héctor Adrián,MEX,18,13,16,12,2496
15,LOPEZ VALDEZ Hector,MEX,20,18,12,15,3240
16,AYALA Benjamin,CHI,1,20,18,9,3240
17,OURIQUES Jean,BRA,8,19,10,18,3420
18,GARCIA Santiago,ARG,9,15,20,16,4800
19,NICOLOSO Pedro Ferreira,BRA,7,17,17,19,5491
,ESCOBAR Ronny,CHI,2,12,14,,
