rank,name,from,bib,speed,bould,lead,total
6,YIP Alannah,CAN,109,8,7,3,168
2,CONTRERAS Alejandra,CHI,103,3,2,6,36
1,BAIR Lauren,USA,107,5,4,1,20
7,ROJAS Andrea,ECU,105,2,11,8,176
8,FRANGOS Rebecca,CAN,110,16,3,4,192
4,CHI Norah,USA,104,7,8,2,112
3,AGUADO Valentina,ARG,101,6,1,9,54
5,HUNT Emma,USA,106,1,10,13,130
9,KOPF Sienna,USA,108,4,6,11,264
10,CONTRERAS Carmen,CHI,111,10,15,5,750
11,VEST Allison,CAN,113,14,9,7,882
12,ROMERO Leslie,VEN,102,20,5,15,1500
13,SILVA Muykuay,CHI,112,9,16,14,2016
14,FERNÁNDEZ GUTIERREZ Arantza,MEX,116,11,13,17,2431
15,SHIRAIWA Thais Makino,BRA,115,17,12,12,2448
16,MAGALHAES DE CASTRO Bianca,BRA,114,15,17,10,2550
17,MACIAS FERREIRA Valeria,MEX,118,13,18,18,4212
18,LUNA VELASCO Arantza,MEX,120,19,14,19,5054
19,GONZÁLEZ RÁMIREZ María Fernanda,MEX,119,18,19,16,5472
,RISCADO Luana,BRA,117,12,20,,
