rank,bib,name,from,speed,bould,lead,total
1,44,KIM Ja In,KOR,8,2,1,16
2,45,SA Sol,KOR,6,1,3,18
3,30,NOGUCHI Akiyo,JPN,11,3.5,2,77
4,38,MARLENOVA Assel,KAZ,1,11,16,176
5,74,LEE Hungying,TPE,5,6,8,240
6,31,ITO Futaba,JPN,9,7,4,252
7,27,REKABI Elnaz,IRI,12,3.5,6,252
8,8,JIANG Rong,CHN,3,9,11,297
9,18,NDONA Nasugian,INA,2,15,12,360
10,17,WIDIA Fujiyanti,INA,4,14,7,392
11,7,RENQING Lamu,CHN,10,10,5,500
12,65,TENG Vanessa Si Yinn,SGP,16,5,9,720
13,37,AGAMBAYEVA Margarita,KAZ,7,13,10,910
14,72,TUNYAVANICH Puntarika,THA,15,8,13,1560
15,73,PLYPOOLSUP Pankaew,THA,14,12,14,2352
16,51,TAN Jie Yi,MAS,13,16,15,3120
17,21,NANKAR Shreya Sanjay,IND,17,17,18,5202
18,52,SALEHHODIN Siti Nursarah,MAS,20,18,17,6120
19,55,BATBAATAR Ariunbayar,MGL,18,19.5,19,6669
20,54,NAMKHAI Anujin,MGL,19,19.5,20,7410
