rank,bib,last,first,from,speed,bould,lead,total,event
1,1,LETTNER,Sandra,AUT,8,4,1,32,wq
2,10,LUKAN,Vita,SLO,17,3,2,102,wq
3,2,KRASOVSKAIA,Elena,RUS,3,6,6,108,wq
4,16,NAKAMURA,Mao,JPN,14,1,9,126,wq
5,9,MEUL,Hannah,GER,10,2,7,140,wq
6,5,LAMMER,Laura,AUT,4,9,4,144,wq
7,7,KALUCKA,Aleksandra-Zaneta,POL,1,17,16,272,wq
8,14,KALUCKA,Natalia,POL,2,12,14,336,wq
9,3,AGUADO,Valentina,ARG,6,7,11,462,wq
10,4,ROGORA,Laura,ITA,13,5,8,520,wq
11,19,ARC,Nolwenn,FRA,21,10,3,630,wq
12,17,CONTRERAS,Alejandra,CHI,5,14,10,700,wq
13,8,RAKOVEC,Lucka,SLO,12,13,5,780,wq
14,6,EMELEVA,Luiza,RUS,9,8,12,864,wq
15,11,SAUREL,Lucile,FRA,7,11,15,1155,wq
16,15,DISYABUT,Narada,THA,11,15,20,3300,wq
17,13,HERMANN,Hannah,SUI,15,18,13,3510,wq
18,18,CARKNER,Catherine,CAN,18,16,19,5472,wq
19,20,ECKHARDT,Angela-Lara,RSA,19,20,17,6460,wq
20,12,TOGNON,Annalisa,SUI,20,19,18,6840,wq
21,21,TETZLAFF,Sarah,NZL,16,21,21,7056,wq
