rank,bib,last,first,from,speed,bould,lead,total,event
1,5,DOHI,Keita,JPN,9,1,11,99,mq
2,1,AVEZOU,Sam,FRA,3,7,5,105,mq
3,6,TANAKA,Shuta,JPN,13,9,1,117,mq
4,3,IVANOV,Petar,BUL,15,2,4,120,mq
5,2,SCHENK,Filip,ITA,14,6,2,168,mq
6,7,PAN,Yufei,CHN,19,5,3,285,mq
7,4,MARTIN,Nathan,FRA,12,3,9,324,mq
8,15,JANG,Donghyun,KOR,1,20.5,19,389.5,mq
9,8,HUANG,Dichong,CHN,5,10,10,500,mq
10,11,EOM,Seongmin,KOR,6,13,7,546,mq
11,17,TKACH,Yaroslav,UKR,2,17,20,680,mq
12,16,HERNANDEZ,Galo,ECU,10,12,8,960,mq
13,13,CHAN,Chong-Kiat-Mark,SGP,11,8,12,1056,mq
14,18,RIVADENEIRA,Nickolaie,ECU,4,20.5,14,1148,mq
15,12,UZNIK,Nicolai,AUT,18,11,6,1188,mq
16,14,FRANCKAERT,Lukas-Joris-E,BEL,20,4,17,1360,mq
17,9,LINACISORO-MOLINA,Mikel-Asier,ESP,8,16,15,1920,mq
18,21,PEREIRA,Bharath,IND,7,14,21,2058,mq
19,10,KURIC,Peter,SVK,16,18,13,3744,mq
20,20,NAUDE,David-Anthony,RSA,17,15,16,4080,mq
21,19,MIDDLEHURST,Ned,AUS,21,19,18,7182,mq
