rank,name,from,lead,speed,bould,total
3,NARASAKI Tomoa,JPN,7,4,4,112
2,SCHUBERT Jakob,AUT,2,15,2,60
6,KHAIBULLIN Rishat,KAZ,16,1,17,272
5,HARADA Kai,JPN,13,6,3,234
7,NARASAKI Meichi,JPN,10,8,5,400
4,FUJII Kokoro,JPN,5,5,7,175
8,MAWEM Mickael,FRA,18,3,8,432
1,MEGOS Alexander,GER,1,17,1,17
9,FOSSALI Ludovico,ITA,20,2,20,800
10,MCCOLL Sean,CAN,3,18,15,810
11,FLOHÉ Yannick,GER,4,16,14,896
12,COLEMAN Nathaniel,USA,8,10,12,960
13,RUANA Rudolph,USA,6,12,18,1296
14,PICCOLRUAZ Michael,ITA,15,7,13,1365
15,DOHI Keita,JPN,12,11,11,1452
16,KRUDER Jernej,SLO,14,13,9,1638
17,HOJER Jan,GER,11,19,10,2090
18,ONDRA Adam,CZE,19,20,6,2280
19,GHISOLFI Stefano,ITA,9,14,19,2394
20,CHON Jongwon,KOR,17,9,16,2448
