rank,name,from,bib,speed,bould,lead,total
1,COSSER Christopher,RSA,3,1,1,1,1
2,CURTIS Calrin,RSA,1,4,2,2,16
3,NAUDE David,RSA,10,2,3,4,24
4,MARX Oliver,RSA,11,3,4,3,36
5,FLYNN Tony,RSA,4,5,5,5,125
6,BARNES James,RSA,2,10,6,6,360
7,WALLACE Christopher,RSA,7,6,7,10,420
8,GRUNEWALD Matthew,RSA,6,8,8,7,448
9,BRUYNS Joshua,RSA,9,9,9,8,648
10,POBE Katleho,RSA,5,11,11,9,1089
11,PEARMAN Ethan,RSA,12,7,13,13,1183
12,LOMBARD Rene,RSA,13,12,10,12,1440
13,MULLER John-David,RSA,8,14,12,11,1848
14,OFOYURU Simon,UGA,14,13,14,14,2548
