overall,climber,nation,a,b,speed,x1,x2,x3,x4,results,bouldering,hr,tft,lead,total,notes
1,Mickaël Mawem,France,5.95,7.75,3,T2z2,T1z1,T1z1,z1,3T4z 4 5,1,28+,2:24,11,33.00,Q
2,Tomoa Narasaki,Japan,DNS,5.94,2,T2z1,T4z4,z1,z1,2T4z 6 7,2,26+,2:11,14,56.00,Q
3,Colin Duffy,United States,6.23,6.85,6,T10z6,–,T7z6,–,2T2z 17 12,5,42+,4:44,2,60.00,Q
4,Jakob Schubert,Austria,6.70,6.94,12,z9,–,z3,T2z1,1T3z 2 13,7,42+,4:02,1,84.00,Q
5,Adam Ondra,Czech Republic,7.46,8.16,18,T4z4,–,z4,T3z3,2T3z 7 11,3,39+,,4,216.00,Q
6,Alberto Ginés López,Spain,6.48,6.32,7,–,–,T12z4,–,1T1z 12 4,14,41+,,3,294.00,Q
7,Bassa Mawem,France,5.45 OR,5.67,1,z4,–,–,–,0T1z 0 4,18,7,,20,360.00,Q
8,Nathaniel Coleman,United States,6.51,6.52,10,z1,–,T4z3,z2,1T3z 4 6,11,39,,5,550.00,Q
9,Alexander Megos,Germany,9.89,7.47,19,T2z1,z6,z7,z1,1T4z 2 15,6,36+,,6,684.00,
10,Jongwon Chon,South Korea,6.21,Fall,5,z4,–,T3z3,z3,1T3z 3 10,10,26+,2:34,16,800.00,
11,Rishat Khaibullin,Kazakhstan,6.90,6.19,4,–,–,z3,–,0T1z 0 3,17,28+,3:09,13,884.00,
12,Jan Hojer,Germany,6.63,Fall,11,z2,–,T3z3,z3,1T3z 3 8,9,29+,,9,891.00,
13,Aleksey Rubtsov,ROC,8.09,7.23,16,T6z3,–,–,T1z1,2T2z 7 4,4,26+,2:29,15,960.00,
14,Pan Yufei,China,8.63,7.59,20,T2z2,–,z12,z1,1T3z 2 15,8,36,,7,1120.00,
15,Michael Piccolruaz,Italy,6.33,6.46,8,T5z5,–,z2,–,1T2z 5 7,13,28+,2:33,12,1248.00,
16,Christopher Cosser,South Africa,6.48,7.55,9,z7,–,z8,–,0T2z 0 15,16,29,,10,1440.00,
17,Sean McColl,Canada,9.18,6.93,14,z2,–,z1,–,0T2z 0 3,15,35+,,8,1680.00,
18,Kai Harada,Japan,Fall,7.08,15,T4z1,–,z7,–,1T2z 4 8,12,25+,,17,3060.00,
19,Ludovico Fossali,Italy,6.71,7.39,13,–,–,–,–,0T0z 0 0,19.5,25,2:48,18,4563.00,
20,Tom O'Halloran,Australia,7.34,12.20,17,–,–,–,–,0T0z 0 0,19.5,25,3:58,19,6298.50,
